id,S,L,pred,herb,mutu,para
1294,21,25,0,0,25,0
1484,29,49,18,27,0,0
1302,22,29,0,0,29,0
1314,14,15,0,0,15,0
1339,22,24,0,0,24,0
1408,16,15,0,0,15,0
1320,23,32,0,0,32,0
1330,31,39,0,0,39,0
1285,21,32,0,0,32,0
1306,23,28,0,0,28,0
1415,30,37,0,0,37,0
1348,19,20,0,0,20,0
1334,26,30,0,0,30,0
1414,18,16,0,0,16,0
1421,32,53,0,0,53,0
1358,37,44,0,0,44,0
1353,22,25,0,0,25,0
1315,10,9,0,0,9,0
1377,33,40,0,0,40,0
1354,16,20,0,0,20,0
1304,16,18,0,0,18,0
1101,28,127,110,8,0,0
1103,28,218,208,8,0,0
1113,22,34,6,9,0,0
1114,26,41,20,6,0,0
1112,25,45,12,15,0,0
4732,4,3,0,0,0,3
4733,6,5,0,0,0,5
4734,6,5,0,0,0,5
4735,8,7,0,0,0,7
4736,11,15,0,0,0,15
1284,21,89,74,12,0,0
1440,15,38,22,7,0,0
1441,7,12,6,3,0,0
1439,13,26,10,7,0,0
1442,8,14,7,3,0,0
1443,19,22,22,0,0,0
1444,40,185,118,31,0,0
1447,32,139,86,21,0,0
1446,33,141,88,21,0,0
1448,13,34,14,10,0,0
1449,20,44,31,0,0,0
1451,9,15,7,0,0,0
1452,12,26,16,0,0,0
1453,6,10,4,0,0,0
1450,19,55,42,0,0,0
1454,31,131,95,36,0,0
1456,47,157,69,88,0,0
1457,57,178,93,85,0,0
1455,17,33,24,9,0,0
1458,21,62,49,7,0,0
1459,15,43,33,9,0,1
4737,7,5,0,0,0,5
1460,20,19,0,0,0,0
1461,46,127,93,0,0,0
1462,30,229,183,34,0,0
1463,13,34,30,2,0,0
1464,15,42,25,9,0,0
1467,42,103,52,34,0,0
1466,39,106,75,26,0,0
1465,37,77,36,22,0,0
1468,8,25,20,5,0,0
1469,6,7,7,0,0,0
1470,24,91,69,0,0,0
1471,27,47,30,0,0,0
1473,16,50,33,9,0,0
1474,56,178,136,38,0,0
1475,16,42,16,26,0,0
1476,28,69,47,8,0,0
1478,8,11,6,2,0,0
1480,14,30,23,4,0,0
1479,13,27,19,4,0,0
1477,5,7,4,0,0,0
1481,24,94,69,11,0,0
1482,16,31,21,0,0,2
